response_id,department,q1_workload,q2_manager_support,q3_tools,q4_communication,q5_development,q6_recognition,overall_satisfaction,would_recommend,comments
R1137,Operations,5,2,3,2,2,2,3,Yes,
R1131,Finance,2,3,4,3,3,4,3,Yes,My manager is supportive. The company is not.
R1095,Operations,3,5,2,3,3,4,4,Yes,
R1105,Customer Service,2,4,2,1,2,2,2,No,
R1152,Operations,3,3,3,3,2,4,3,No,
R1072,Finance,4,5,3,2,2,4,4,Yes,"Good team, too much work."
R1015,Finance,3,4,3,4,3,2,3,No,
R1103,Finance,3,3,2,3,5,3,3,Yes,
R1022,Human Resources,5,5,3,4,4,2,5,Yes,
R1038,Information Technology,3,5,2,1,3,2,2,No,
R1082,Customer Service,1,2,3,1,1,2,1,No,
R1060,Customer Service,1,4,4,2,3,2,3,No,
R1045,Information Technology,3,4,3,2,2,1,2,No,
R1116,Customer Service,4,4,4,2,2,1,3,Yes,
R1028,Operations,2,3,4,4,3,3,4,Yes,
R1056,Customer Service,2,2,5,2,2,3,3,Yes,
R1121,OPERATIONS,3,5,4,3,3,2,4,Yes,
R1155,Customer Service,3,4,3,3,3,3,4,Yes,
R1034,Customer Service,3,4,4,4,2,3,5,Yes,
R1149,Customer Service,1,3,1,1,2,2,1,No,
R1126,Operations,3,5,1,4,3,3,4,Yes,
R1092,Customer Service,1,5,3,3,1,2,3,No,
R1047,Information Technology,4,4,3,3,3,4,4,Yes,"Good team, too much work."
R1075,Finance,4,5,3,4,2,2,4,Yes,More recognition for the work we already do would go a long way.
R1016,Human Resources,5,4,4,4,3,3,5,Yes,Training budget was cut again this year.
R1159,HR,3,4,3,4,4,4,4,Yes,
R1143,Information Technology,2,1,3,4,3,3,2,No,"We need better tools, the current system is slow."
R1078,Customer Service,1,3,4,3,2,2,2,No,
R1040,Information Technology,2,2,3,4,3,2,2,No,
R1057,Information Technology,4,5,4,3,3,3,5,Yes,
R1044,Customer Service,1,4,3,4,2,2,3,No,
R1053,Operations,2,4,1,3,3,3,2,No,
R1130,Operations,2,3,3,3,3,2,2,No,
R1025,Information Technology,3,5,3,1,1,3,2,No,
R1142,Operations,2,4,2,3,1,2,1,No,
R1062,Finance,3,4,4,2,3,5,4,Yes,
R1108,Customer Service,3,4,1,2,3,1,2,No,
R1089,Customer Service,3,2,4,1,2,1,2,No,
R1048,Finance,5,4,4,3,3,2,4,Yes,
R1141,Customer Service,1,3,3,3,2,3,2,No,
R1122,Operations,3,1,3,3,3,2,2,No,
R1101,Finance,4,3,2,3,4,1,2,No,
R1107,Operations,3,5,4,5,3,4,5,Yes,
R1004,Operations,3,4,3,3,3,3,4,Yes,"We need better tools, the current system is slow."
R1009,Finance,3,5,2,4,3,3,4,Yes,
R1027,Finance,4,4,4,5,5,3,5,Yes,
R1014,Information Technology,1,5,3,4,4,2,3,No,Communication from senior management is unclear.
R1099,Customer Service,4,3,3,2,5,2,4,Yes,
R1013,Human Resources,4,5,3,4,3,4,5,Yes,
R1119,Human Resources,2,5,3,4,2,3,3,No,"We need better tools, the current system is slow."
R1114,Information Technology,3,3,4,2,3,3,3,Yes,
R1098,Customer Service,2,3,2,3,4,3,3,No,
R1148,Operations,2,4,3,3,2,3,3,No,
R1021,Operations,2,4,2,4,3,2,3,No,
R1039,Customer Service,2,3,2,2,3,1,1,No,
R1069,Operations,3,3,2,3,4,2,3,No,
R1007,Human Resources,5,5,5,4,2,3,5,Yes,
R1104,Human Resources,4,4,4,3,3,4,4,Yes,
R1064,Operations,3,2,3,3,3,4,3,Yes,
R1120,Operations,1,4,3,3,4,4,4,Yes,
R1037,Operations,4,5,3,3,2,2,4,Yes,Training budget was cut again this year.
R1093,Human Resources,4,4,3,5,3,4,4,Yes,
R1084,Customer Service,3,4,4,1,2,1,2,No,
R1012,Customer Service,2,3,4,3,3,3,3,No,
R1094,Information Technology,4,5,3,2,3,3,4,Yes,Communication from senior management is unclear.
R1074,Operations,4,3,3,3,1,3,3,No,
R1005,Operations,3,3,3,2,3,2,2,No,
R1066,Human Resources,2,3,4,5,4,2,3,Yes,
R1127,Procurement,3,5,4,5,3,3,4,Yes,My manager is supportive. The company is not.
R1041,Customer Service,2,4,3,2,2,4,3,Yes,
R1111,Operations,3,4,3,5,1,3,4,Yes,
R1035,Human Resources,3,4,3,2,5,4,4,Yes,
R1154,Customer Service,4,3,2,2,1,2,2,No,"Good team, too much work."
